Orders,POPM,AD,BCS,ASD,ERC,SADA,Decision
,75,62,76,73,86,110,FALSE
,70,68,83,118,69,79,FALSE
,63,69,110,69,118,108,FALSE
,118,87,90,101,84,91,FALSE
"{'xplf': 'iszypusaou', 'ctpnvopi': 'wgakes', 'hsncp': 44}",65,62,98,84,92,60,TRUE
"{'bmwn': 74, 'dzvnabd': 30.59, 'wiih': 90.61, 'pemy': False}",97,68,88,105,114,100,TRUE
,102,76,92,76,104,64,FALSE
,78,85,112,82,99,93,FALSE
"{'mftuxfcl': 10, 'nbi': 75.24, 'azbi': [0, 7], 'vsct': False, 'aiwb': 100}",106,61,70,110,117,62,TRUE
,68,109,81,77,93,119,FALSE
,113,67,88,104,107,61,FALSE
{'caungycr': 56.91},68,108,68,97,81,119,TRUE
,68,98,104,70,60,92,FALSE
,102,71,68,69,116,119,FALSE
,113,70,103,98,94,63,FALSE
,97,64,106,61,69,112,FALSE
"{'soakv': 'oryyisrm', 'qjwohdj': 51.12, 'sywv': [0, 0, 3, 4]}",115,112,95,89,116,113,TRUE
"{'xksndkyy': 'fadf', 'kxvogmyb': [8], 'gnwe': 'pxlmc'}",115,87,117,91,90,116,TRUE
,73,101,104,92,81,74,FALSE
,111,84,88,109,65,111,FALSE
"{'ozzmo': False, 'gpejie': 'pdmvv', 'zcbkxok': False}",89,116,107,116,64,92,TRUE
,78,76,77,65,89,94,FALSE
,100,64,60,87,68,71,FALSE
"{'wwvbybpy': 20.68, 'fwj': 18.28}",73,98,90,71,102,88,TRUE
,102,109,67,119,62,89,FALSE
,77,120,71,61,74,80,FALSE
,115,88,92,98,74,60,FALSE
,63,96,86,94,112,93,FALSE
"{'sxhj': 26.8, 'lhnavga': 'gkfths', 'rqfky': 58, 'klaajua': 36.3, 'twy': 63}",103,75,94,66,107,117,TRUE
"{'fdokkhr': 93, 'mqzmwp': 71.23}",74,81,103,97,77,119,TRUE
,115,111,91,67,115,84,FALSE
,113,61,60,71,107,111,FALSE
"{'wwxfzgn': [0, 9], 'iguvlqsz': [3, 3], 'ccpq': 87.32, 'ftdw': 91.05}",75,102,111,79,65,90,TRUE
,69,114,66,79,64,69,FALSE
,112,106,108,68,60,108,FALSE
"{'yvugb': 'mik', 'ujrqxy': 28}",86,103,97,119,101,77,TRUE
,105,85,61,60,102,67,FALSE
,103,74,83,83,95,90,FALSE
,82,84,94,111,90,74,FALSE
,106,81,85,87,109,102,FALSE
"{'ozkxd': 75, 'uxxct': 30, 'iwz': 'vvxotdey', 'hhj': 64.08}",84,101,110,100,79,78,TRUE
"{'nmeul': [9, 2, 4]}",111,91,101,79,85,90,TRUE
,88,64,73,80,104,110,FALSE
,66,65,104,74,80,88,FALSE
{'mwsyl': False},102,105,91,99,72,67,TRUE
,111,113,80,110,72,119,FALSE
,67,94,102,96,117,82,FALSE
"{'pzsesxn': [8, 5], 'pwqqcmop': 'hzxrwb', 'lubfwre': 74, 'klvu': False, 'zgspelul': 'wtppogpwlt'}",116,105,115,70,110,67,TRUE
,65,60,73,68,91,118,FALSE
,111,73,82,108,79,78,FALSE
,85,92,88,81,104,108,FALSE
,112,61,91,105,102,74,FALSE
"{'wsqh': 'ndwy', 'ssreuoj': False, 'uzfehig': False}",91,83,85,90,91,68,TRUE
"{'isxllpi': 81.11, 'ajewbd': 71.24, 'hzfgzns': False, 'mvvyvbx': [0]}",114,93,107,92,100,60,TRUE
,75,109,80,79,61,112,FALSE
,119,88,105,70,71,111,FALSE
"{'shdqtxo': False, 'mrl': 5}",84,105,95,77,70,82,TRUE
,89,120,120,72,67,61,FALSE
,110,117,87,105,85,96,FALSE
{'rtgwqcj': 57},98,87,72,95,77,82,TRUE
,65,86,106,60,74,98,FALSE
,96,110,71,90,64,88,FALSE
,76,120,103,96,101,88,FALSE
,97,89,80,113,85,83,FALSE
{'uucncj': True},119,95,99,120,104,70,TRUE
{'vrm': 'yzijhtes'},111,70,118,86,83,90,TRUE
,69,70,97,82,104,104,FALSE
,98,104,64,60,96,99,FALSE
"{'yxomgf': [9], 'dmnyx': 56.66}",116,115,72,64,89,88,TRUE
,111,82,65,60,101,110,FALSE
,75,97,112,74,112,108,FALSE
{'bnlvuvi': 53.18},97,108,102,80,71,107,TRUE
,96,92,110,114,94,106,FALSE
,77,86,103,120,60,94,FALSE
,103,119,99,97,115,108,FALSE
,93,84,61,80,116,81,FALSE
"{'dgsbn': False, 'rfo': True}",77,69,80,98,61,60,TRUE
"{'ldnvlxe': 93, 'mmwle': 80.63, 'avypjv': 17.47}",84,90,110,115,76,75,TRUE
,115,84,119,67,89,67,FALSE
,80,106,116,83,93,103,FALSE
"{'baj': 'wdnfqttd', 'vaj': 61, 'mohb': 71}",118,112,114,114,102,84,TRUE
,64,114,72,102,110,72,FALSE
,89,112,103,89,84,113,FALSE
"{'ukfi': 'esdiov', 'cxtwgivk': False, 'aohdrgkh': [2, 3, 3], 'ekw': 'ofzle'}",63,72,101,73,104,113,TRUE
,69,100,80,100,114,95,FALSE
,68,115,115,76,117,120,FALSE
,85,97,109,108,84,116,FALSE
,90,80,84,70,114,78,FALSE
"{'avpb': False, 'myzx': False, 'jjyxrzri': 'kwl'}",75,96,105,84,109,115,TRUE
"{'widrvljb': [3], 'cdjwtkm': True, 'kayy': 3.66}",91,110,108,75,93,109,TRUE
,118,106,61,103,63,66,FALSE
,66,86,105,66,105,80,FALSE
"{'teb': [3, 2, 1], 'blhetrjk': 'vpvdatee', 'yofdobm': True, 'xtwxsho': [1, 7, 6, 6], 'fjcovf': 'ejxfupmufu'}",73,61,115,107,85,106,TRUE
,89,101,96,120,97,89,FALSE
,69,82,93,107,106,107,FALSE
{'dueeq': 46},93,110,114,103,84,91,TRUE
,101,116,63,90,93,100,FALSE
,64,67,91,100,115,63,FALSE
,64,105,88,96,103,103,FALSE
,68,114,112,118,85,96,FALSE
"{'vdbqqnnk': 93, 'vaqikbti': 64.13, 'uqq': 'stghom', 'mualou': True, 'pfnl': False}",75,94,116,102,68,114,TRUE
"{'kqx': 67.71, 'ynhslo': 66, 'auv': False, 'crsue': 30.24}",73,110,93,108,97,84,TRUE
,96,61,89,77,91,118,FALSE
,105,76,70,111,80,61,FALSE
"{'wickvmtz': False, 'eoioedl': 'ojx'}",66,119,117,64,82,82,TRUE
,107,65,88,87,78,89,FALSE
,76,94,89,82,90,101,FALSE
"{'fps': 12, 'hcixqrdg': 'uufkmwlu', 'kfdph': 'tgbo'}",111,60,93,60,91,77,TRUE
,74,71,61,108,103,107,FALSE
,84,92,82,112,80,97,FALSE
,108,97,109,108,113,110,FALSE
,107,79,120,89,74,115,FALSE
"{'ltwn': 41.75, 'xpadnqgf': True, 'puvj': 61.54}",111,117,65,69,61,76,TRUE
"{'lrecxxaw': [4], 'lewvf': 44, 'xtb': 12, 'rvp': [1, 2], 'hxlzatmr': 'pnhmgtwmhd'}",85,112,86,111,87,87,TRUE
,70,68,65,76,95,113,FALSE
,120,70,71,97,120,93,FALSE
"{'nrik': 35, 'lftv': 'nbntmgt', 'okdzs': False, 'ujdh': [7], 'sjvi': [0]}",111,102,92,71,66,93,TRUE
,91,104,98,100,72,99,FALSE
,107,96,74,111,87,85,FALSE
"{'jzxpv': 52.47, 'yeudxibo': [5, 6, 5, 7], 'azluiihy': 95.28, 'jhckaiwb': 17, 'upx': 64.49}",110,107,97,94,118,80,TRUE
,76,95,113,60,120,97,FALSE
,78,108,111,90,92,94,FALSE
,111,64,91,64,86,78,FALSE
,102,96,79,108,83,113,FALSE
"{'bvruxvl': [4], 'mhqzdjq': [5], 'uea': 'ydmjxazd'}",94,92,86,89,105,110,TRUE
"{'thfcpp': 'mwkljecw', 'tveaw': 2, 'qxvhvn': False, 'lmlcqfcf': 'vet', 'gurhmedf': [5, 4, 10, 0]}",98,110,60,110,61,93,TRUE
,105,103,117,95,88,107,FALSE
,115,106,81,116,113,81,FALSE
"{'iigiizds': [1, 8, 5], 'svzq': False, 'hlsjisal': 32}",62,100,93,86,118,65,TRUE
,96,95,97,60,117,112,FALSE
,98,68,62,106,120,66,FALSE
"{'bker': 84, 'sjy': 17}",66,68,102,88,95,69,TRUE
,83,117,95,107,93,112,FALSE
,98,78,86,93,106,90,FALSE
,87,118,60,106,88,96,FALSE
,116,119,75,62,87,96,FALSE
"{'yiuiob': 'cvwpxa', 'rbuwkn': True, 'aipagt': False}",69,116,111,82,113,63,TRUE
{'shciz': [4]},110,103,82,86,115,81,TRUE
,70,98,78,111,119,93,FALSE
,94,101,99,90,96,83,FALSE
"{'ecjtzy': True, 'kotelj': [1, 3, 8]}",110,95,92,116,117,68,TRUE
,95,68,101,96,87,82,FALSE
,60,66,67,67,85,119,FALSE
"{'idhmkzl': 86, 'spjhkwe': False, 'vkxtwdbo': 94.68, 'obvp': 'fcqck', 'fyglph': 96}",90,104,89,99,119,84,TRUE
,106,110,98,92,112,120,FALSE
,117,104,119,100,98,116,FALSE
,73,105,90,93,97,80,FALSE
,97,96,94,96,79,69,FALSE
"{'bosseur': True, 'aps': 'itxk', 'uyafg': False, 'qzcjtf': [2, 8, 9, 5], 'hdol': 'ijboz'}",102,77,67,97,84,69,TRUE
"{'rhx': 33.78, 'nchttxpz': [4], 'kcyqh': 1, 'dtlzzgb': 51.04}",107,106,114,81,77,111,TRUE
,95,99,60,67,90,115,FALSE
,63,84,71,119,106,65,FALSE
{'bxfu': [5]},80,71,113,73,64,108,TRUE
,111,72,81,72,108,75,FALSE
,62,81,63,70,75,108,FALSE
{'phrwl': False},118,93,65,64,117,97,TRUE
,66,87,73,110,82,68,FALSE
,82,78,83,61,97,105,FALSE
,107,61,73,84,75,70,FALSE
,90,120,79,105,100,105,FALSE
"{'jcrbjabj': [6, 2, 4], 'hohifat': 'jejkgkay'}",96,60,97,102,88,66,TRUE
"{'rwli': 96, 'vof': 100, 'lwmt': 'lkpcjajywy'}",71,117,117,71,85,97,TRUE
,93,113,108,113,89,70,FALSE
,101,71,85,70,109,69,FALSE
"{'fbhfw': 'xcivh', 'uompa': 'asftbbwcy', 'cvq': False, 'hfm': 57.57, 'sakdg': 'eanlk'}",77,106,91,92,91,119,TRUE
,79,76,85,117,87,70,FALSE
,86,75,76,110,112,82,FALSE
"{'zjnbypk': 'djg', 'vssxc': 52, 'qqxrfi': 'krmkdwdc', 'ldajsk': False, 'qexfbeht': 73.02}",76,64,65,96,103,102,TRUE
,94,66,116,117,77,103,FALSE
,60,97,72,61,86,113,FALSE
,75,91,91,115,108,101,FALSE
,109,104,69,68,70,109,FALSE
"{'kynfel': 'dynrxqxsxw', 'lhoe': False, 'qkeegge': True, 'pvuaefa': 'fextgqzkm', 'hazjvcr': False}",94,100,72,109,67,118,TRUE
"{'wamr': 69.93, 'xyuy': [10, 10, 3], 'enohcu': True, 'hgzoy': False}",69,83,106,113,62,108,TRUE
,96,72,102,99,65,111,FALSE
,113,67,94,83,107,71,FALSE
"{'lgqf': False, 'hed': True, 'ksuem': 'mvj', 'zxplb': True}",77,70,84,89,89,71,TRUE
,60,63,66,93,120,112,FALSE
,103,99,84,120,79,98,FALSE
{'yyxziyie': 33},114,99,81,105,87,116,TRUE
,84,60,82,63,60,78,FALSE
,96,71,112,61,92,64,FALSE
,68,99,86,98,74,95,FALSE
,93,100,105,90,93,119,FALSE
{'rzmgguaf': True},85,114,115,103,91,86,TRUE
"{'qrqrkhry': 82, 'wsua': 26, 'nshzje': 22, 'sehqbgm': 9.16}",99,91,68,92,100,60,TRUE
,108,103,112,110,74,78,FALSE
,97,104,114,79,76,63,FALSE
"{'dcoojw': [8], 'xpm': [10, 0, 9], 'wbqrhpyd': [9, 8, 7, 1], 'xmgpvf': [9, 0]}",103,95,77,87,69,99,TRUE
,82,65,103,83,100,88,FALSE
,98,64,78,76,87,73,FALSE
"{'gzbjfba': True, 'wqnvbtpy': True, 'rgsafcna': True, 'nivv': 34}",93,80,120,120,76,82,TRUE
,95,62,79,110,69,90,FALSE
,108,104,61,93,78,65,FALSE
,92,84,80,74,101,80,FALSE
,114,72,108,100,94,65,FALSE
{'vptbkvc': True},104,118,118,64,119,110,TRUE
"{'wvk': True, 'nbfyiw': 16.93, 'jfv': [0, 1, 4, 0], 'ebeefaa': 9}",112,75,107,84,112,108,TRUE
,117,119,76,104,101,100,FALSE
,63,89,92,116,72,72,FALSE
"{'dlryqsgd': 97, 'cephay': 'ucdldfmjmx'}",60,119,111,107,62,74,TRUE
,114,116,120,67,67,87,FALSE
,84,71,99,64,117,98,FALSE
"{'fcr': 58.69, 'sukbyc': [9, 10, 9], 'mgvexj': True, 'bhd': [5], 'chtdud': 82.32}",109,103,96,77,104,110,TRUE
,105,98,70,88,115,113,FALSE
,68,118,90,118,107,85,FALSE
,85,103,101,80,96,66,FALSE
,110,114,116,71,65,74,FALSE
"{'ljcabu': 'cwwgwvyemy', 'gzanjo': True, 'pocw': 87.44}",106,73,89,98,116,109,TRUE
"{'ilpmhacy': 'uvcqyswm', 'dkpdbcc': 'rru', 'wlfjcxrb': 53}",115,92,63,63,68,114,TRUE
,113,102,99,60,61,87,FALSE
,101,118,85,106,61,75,FALSE
"{'jccrlnw': False, 'hfcvfsbz': 'rzmsln', 'hxfqsm': 98.38}",74,83,103,101,98,71,TRUE
,102,60,76,110,97,99,FALSE
,93,108,70,109,66,61,FALSE
"{'lxz': 20, 'nxwmeggs': 'elhd'}",77,106,120,87,60,67,TRUE
,66,93,94,94,81,63,FALSE
,102,73,103,98,119,65,FALSE
,61,91,70,119,114,74,FALSE
,93,103,74,116,100,60,FALSE
{'safhjxj': 11},109,120,103,101,80,111,TRUE
"{'nwpj': True, 'xknkopla': 39.35, 'mxxpmq': [2, 4, 6], 'avyxkjq': False}",117,94,69,118,115,99,TRUE
,107,102,105,98,109,111,FALSE
,94,87,105,105,92,62,FALSE
"{'iie': False, 'jqm': 8.77, 'iar': [5, 5, 0, 8]}",109,105,61,68,112,88,TRUE
,117,86,72,88,71,81,FALSE
,91,104,118,92,94,89,FALSE
"{'rnoa': 99, 'usig': [7, 1], 'sqsr': 40, 'szxnwvu': [9, 8]}",118,113,76,107,98,83,TRUE
,96,62,77,88,117,75,FALSE
,88,60,110,76,97,72,FALSE
,79,103,89,68,116,108,FALSE
,66,66,107,102,113,80,FALSE
"{'xkx': 73, 'vnf': 87, 'vgydcgsr': 54.24}",97,82,87,85,118,73,TRUE
"{'wgnxdpr': 81, 'kbhrk': True, 'zns': 'ywfziwuo', 'lcgy': 54}",97,70,87,68,74,81,TRUE
,112,114,93,102,102,96,FALSE
,96,100,88,101,101,106,FALSE
"{'tck': 37.17, 'fcellf': 'mmobwsz', 'vostgvb': [7, 1, 8], 'scsig': False, 'xmt': 35.04}",119,70,83,92,117,96,TRUE
,87,79,113,68,110,104,FALSE
,90,73,105,105,87,114,FALSE
"{'das': 'ybzelx', 'jkzuxoe': 'clhwhxak', 'ssa': 'hjfix', 'jyvaw': False, 'utifvx': 44.23}",120,118,84,92,111,60,TRUE
,81,94,64,116,85,107,FALSE
,78,70,98,97,93,92,FALSE
,93,63,91,64,89,98,FALSE
,112,89,87,110,73,118,FALSE
{'uhexv': 'xzezgvvr'},74,80,94,115,111,65,TRUE
"{'pnj': 67.31, 'cily': 65, 'zscqv': 82.05, 'slfftifw': 79}",73,106,95,111,118,83,TRUE
,72,63,106,85,81,72,FALSE
,91,73,78,82,92,71,FALSE
"{'sjv': False, 'scmmg': [5], 'cvcaal': 99.21, 'fug': True}",98,113,115,120,104,103,TRUE
,104,67,75,71,96,77,FALSE
,99,111,60,114,108,86,FALSE
"{'hxkwae': 30.3, 'fmswbult': 16}",106,120,82,93,111,104,TRUE
,65,104,61,90,110,114,FALSE
,109,81,66,113,96,68,FALSE
,81,86,94,107,93,120,FALSE
,116,61,88,107,120,109,FALSE
"{'agux': 22.53, 'sgdp': False}",97,86,89,96,88,60,TRUE
{'oezolkb': 41.32},83,78,99,77,107,105,TRUE
,96,71,95,74,84,99,FALSE
,65,79,67,68,82,110,FALSE
"{'wgyzjglo': 27, 'www': [9, 4, 3]}",67,107,70,120,100,101,TRUE
,67,83,84,82,75,72,FALSE
,104,70,94,62,76,102,FALSE
"{'kcbihvsi': 'fmfxh', 'taspqc': 'fuli', 'atnlt': True}",80,67,71,64,87,78,TRUE
,112,95,114,90,95,112,FALSE
,103,85,95,78,83,108,FALSE
,90,115,96,80,86,103,FALSE
,68,70,114,86,84,97,FALSE
"{'vyiiy': [8, 8]}",120,76,75,108,62,97,TRUE
"{'ntjko': False, 'cklh': [0, 10, 7, 2]}",117,60,107,104,80,97,TRUE
,74,68,77,80,89,73,FALSE
,107,69,102,66,60,87,FALSE
"{'qxbciu': 'keajgqnljo', 'ekod': False, 'wzx': 34}",109,112,113,96,65,82,TRUE
,96,68,77,101,60,103,FALSE
,70,83,69,84,99,68,FALSE
"{'xeenihl': False, 'pycqxqs': 64}",112,91,117,94,83,88,TRUE
,73,76,119,76,63,91,FALSE
,80,73,60,68,100,64,FALSE
,73,116,67,72,64,113,FALSE
,103,74,64,120,61,94,FALSE
{'naj': 32},87,81,78,106,83,60,TRUE
"{'pnite': 86.05, 'pie': False, 'lzqtghde': 'aictjkzrf', 'hkp': 18, 'vrwfyih': False}",64,106,115,109,119,109,TRUE
,113,111,92,93,92,112,FALSE
,113,108,91,110,63,117,FALSE
"{'njclykh': 47.32, 'tnbcil': 'psteuztl'}",64,82,61,85,78,83,TRUE
,75,75,73,73,111,79,FALSE
,70,101,69,105,66,113,FALSE
"{'xezvc': 'ikmq', 'ztafwa': 81.04}",119,105,91,112,104,116,TRUE
,79,114,92,113,81,67,FALSE
,92,85,67,78,92,104,FALSE
,103,110,93,94,118,76,FALSE
,67,83,91,80,90,109,FALSE
"{'tociay': True, 'xjprnaih': True, 'oonwo': [1, 0], 'srt': 'stencwi'}",60,115,85,108,87,114,TRUE
"{'qsjpjm': [4, 8, 9], 'yvrqhemm': 33.14, 'kxtqna': 45, 'gwetoy': [8, 5, 5]}",72,109,93,104,115,71,TRUE
,63,69,78,65,84,93,FALSE
,78,109,100,113,115,76,FALSE
"{'uwpz': 'xlyzuv', 'scrqw': 'zcpwbs'}",111,118,119,61,103,112,TRUE
,116,102,92,109,100,80,FALSE
,60,74,116,72,104,79,FALSE
{'krtkdk': 77},100,104,117,104,78,70,TRUE
,111,83,64,70,105,86,FALSE
,114,78,65,68,89,90,FALSE
,85,119,87,108,100,68,FALSE
,118,73,116,68,107,61,FALSE
"{'omqlj': True, 'qsvdimy': True}",74,96,96,114,63,67,TRUE
"{'utta': [8, 2, 9, 5], 'bjjj': True, 'gwd': 'bdhfprrb', 'ieig': 'difgqem', 'eagpj': 96.72}",108,68,76,61,66,77,TRUE
,90,89,79,77,90,101,FALSE
,76,62,112,109,83,115,FALSE
"{'vmuupd': 'mafpr', 'bimpi': 58, 'kgf': 'fiwxxukgl', 'bwdltfin': 'frhez', 'zbfk': True}",70,86,69,118,111,62,TRUE
,82,116,71,116,65,76,FALSE
,114,110,87,110,91,107,FALSE
"{'kxitgqg': 34.07, 'faqgva': 29, 'xlwjzotc': [10, 4]}",106,110,90,87,88,113,TRUE
,77,80,95,112,98,68,FALSE
,111,76,91,63,99,105,FALSE
,61,113,90,61,105,78,FALSE
,60,106,118,69,97,87,FALSE
"{'naz': [7], 'gsrp': True, 'mxkgbtvp': 23.42, 'zns': 'yqzqzi'}",117,92,62,101,113,108,TRUE
"{'rosur': [8], 'ntkeep': 28.5, 'hczf': 32.79}",67,61,67,113,101,93,TRUE
,117,66,79,79,94,68,FALSE
,62,77,87,102,61,97,FALSE
{'wtjngo': 6},84,70,80,71,87,60,TRUE
,98,85,117,85,83,111,FALSE
,75,63,79,91,101,107,FALSE
"{'esn': 6, 'jmqhst': 4.0}",83,84,94,87,91,61,TRUE
,107,116,93,108,116,83,FALSE
,110,60,63,82,87,84,FALSE
,104,65,62,74,99,72,FALSE
,103,113,90,60,114,100,FALSE
"{'pwvgud': [0, 0], 'imwupddp': 59, 'spth': [7, 5, 6], 'zpk': [7, 2], 'hifax': False}",78,105,68,80,93,71,TRUE
"{'lquhlfx': 40, 'bmoveg': 13, 'ohnrtii': 'hcq', 'xmts': [0, 0], 'qhwpvsgo': 62}",86,114,118,76,86,80,TRUE
,67,107,116,117,91,101,FALSE
,87,71,103,106,81,82,FALSE
"{'akrqp': [6], 'hwkiafol': [7, 5, 8, 0], 'ktsvtujz': True, 'hkrwg': 57}",69,95,102,79,86,118,TRUE
,116,88,109,68,97,109,FALSE
,90,63,117,114,118,65,FALSE
"{'yar': True, 'kmq': [0, 0]}",117,68,63,100,110,78,TRUE
,117,109,81,67,103,118,FALSE
,107,110,91,82,106,67,FALSE
,69,84,82,63,76,107,FALSE
,88,82,77,62,80,119,FALSE
"{'jzzcep': 'pdkdtu', 'fgj': 83.88, 'toipx': 'ytghcpoh', 'frbt': 9}",93,116,68,83,104,67,TRUE
"{'uhrdaj': 57, 'jtdqwh': 62.16, 'dxdpmrzz': 40.49, 'zsacmkvm': 43, 'enjlfe': [8, 8, 9]}",78,69,62,73,92,101,TRUE
,67,113,80,84,86,89,FALSE
,101,63,82,105,118,86,FALSE
"{'csb': 5, 'yqqnmqid': [8, 2]}",73,112,63,96,61,77,TRUE
,69,105,105,68,101,67,FALSE
,71,60,99,96,61,112,FALSE
{'kpkphsbk': 'ytcejagj'},118,71,96,109,72,112,TRUE
,80,73,80,74,89,111,FALSE
,109,85,73,92,93,119,FALSE
,81,111,100,106,65,88,FALSE
,100,93,96,102,106,84,FALSE
"{'mjv': 'afwprwqsb', 'meedvq': 92, 'srrvb': 'whureyqiou'}",65,91,80,62,82,96,TRUE
"{'csb': 5, 'yqqnmqid': [8, 2]}",100,69,76,61,114,88,TRUE
,118,84,112,88,76,112,FALSE
