feature,kind,threshold,operator,split_rule,criterion,impurity_decrease,n_left,n_right,class1,precision_1,recall_1,support_1,class2,precision_2,recall_2,support_2,value
New Country,categorical,US - United States,==,New Country == 'US - United States',entropy,0.6962122601251458,13,3,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
New Country,categorical,,==,New Country is null,entropy,0.6962122601251458,3,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
New Address,categorical,,==,New Address is null,entropy,0.6962122601251458,3,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.6962122601251458,13,3,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.6962122601251458,3,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,,==,Delivery status is null,entropy,0.6962122601251458,13,3,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,DELIVERED,==,Delivery status == 'DELIVERED',entropy,0.6962122601251458,3,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.6962122601251458,13,3,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,1.0,13,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Can't find orders / account | Ask for details,1.0,1.0,13,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,1.0,13,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Can't find orders / account | Ask for details,1.0,1.0,13,
Orders Information,list_len,,len <=,len(Orders Information) <= 0.5,entropy,1.0,13,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Can't find orders / account | Ask for details,1.0,1.0,13,0.5
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,1.0,13,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Can't find orders / account | Ask for details,1.0,1.0,13,
Order in question,categorical,,==,Order in question is null,entropy,1.0,13,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Can't find orders / account | Ask for details,1.0,1.0,13,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.37123232664087563,13,1,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.37123232664087563,1,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Order items in question,list_contains,15854248100077,in,'15854248100077' in Order items in question,entropy,0.37123232664087563,1,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,,==,Delivery status is null,entropy,0.37123232664087563,13,1,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,PENDING,==,Delivery status == 'PENDING',entropy,0.37123232664087563,1,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9593160320543777,34,21,35 minutes passed,1.0,1.0,34,Can't select which order | Ask which order / items,1.0,1.0,21,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9593160320543777,21,34,35 minutes passed,1.0,1.0,34,Can't select which order | Ask which order / items,1.0,1.0,21,
Order in question,categorical,,==,Order in question is null,entropy,0.9593160320543777,21,34,35 minutes passed,1.0,1.0,34,Can't select which order | Ask which order / items,1.0,1.0,21,
Order items in question,list_len,,len <=,len(Order items in question) <= 2.5,entropy,0.8526100369331673,33,22,35 minutes passed,1.0,0.9705882352941176,34,Can't select which order | Ask which order / items,0.9545454545454546,1.0,21,2.5
Tags on the order in question,list_len,,len <=,len(Tags on the order in question) <= 4.5,entropy,0.8526100369331673,33,22,35 minutes passed,1.0,0.9705882352941176,34,Can't select which order | Ask which order / items,0.9545454545454546,1.0,21,4.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.18717625687320816,34,1,2nd Touch | SKIP,1.0,1.0,1,35 minutes passed,1.0,1.0,34
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.18717625687320816,1,34,2nd Touch | SKIP,1.0,1.0,1,35 minutes passed,1.0,1.0,34
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.18717625687320816,1,34,2nd Touch | SKIP,1.0,1.0,1,35 minutes passed,1.0,1.0,34
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.18717625687320816,1,34,2nd Touch | SKIP,1.0,1.0,1,35 minutes passed,1.0,1.0,34
Order items in question,list_contains,15770428866797,in,'15770428866797' in Order items in question,entropy,0.18717625687320816,1,34,2nd Touch | SKIP,1.0,1.0,1,35 minutes passed,1.0,1.0,34
The type of address change the customer asked to update ,list_contains,shipping_from_billing,in,'shipping_from_billing' in The type of address change the customer asked to update ,entropy,0.828055725379504,12,34,35 minutes passed,1.0,1.0,34,Set the shipping address as the billing address,1.0,1.0,12,
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 31.5,entropy,0.828055725379504,12,34,35 minutes passed,1.0,1.0,34,Set the shipping address as the billing address,1.0,1.0,12,31.5
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 26,entropy,0.6856390081933673,11,35,35 minutes passed,0.9714285714285714,1.0,34,Set the shipping address as the billing address,1.0,0.9166666666666666,12,26.0
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 36,entropy,0.6479814014631434,14,32,35 minutes passed,1.0,0.9411764705882353,34,Set the shipping address as the billing address,0.8571428571428571,1.0,12,36.0
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 19.5,entropy,0.5858043460444669,10,36,35 minutes passed,0.9444444444444444,1.0,34,Set the shipping address as the billing address,1.0,0.8333333333333334,12,19.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.8507707040532599,34,13,35 minutes passed,1.0,1.0,34,Unsupported Fulfillment status,1.0,1.0,13,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.8507707040532599,13,34,35 minutes passed,1.0,1.0,34,Unsupported Fulfillment status,1.0,1.0,13,
Delivery status,categorical,,==,Delivery status is null,entropy,0.8507707040532599,34,13,35 minutes passed,1.0,1.0,34,Unsupported Fulfillment status,1.0,1.0,13,
Tags on the order in question,list_len,,len <=,len(Tags on the order in question) <= 4.5,entropy,0.7401908620751267,33,14,35 minutes passed,1.0,0.9705882352941176,34,Unsupported Fulfillment status,0.9285714285714286,1.0,13,4.5
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 4206,entropy,0.7401908620751267,33,14,35 minutes passed,1.0,0.9705882352941176,34,Unsupported Fulfillment status,0.9285714285714286,1.0,13,4206.0
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9984628557283827,34,31,35 minutes passed,1.0,1.0,34,Shipping is processed | notify the customer,1.0,1.0,31,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9984628557283827,31,34,35 minutes passed,1.0,1.0,34,Shipping is processed | notify the customer,1.0,1.0,31,
Delivery status,categorical,,==,Delivery status is null,entropy,0.9984628557283827,34,31,35 minutes passed,1.0,1.0,34,Shipping is processed | notify the customer,1.0,1.0,31,
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 3529,entropy,0.8996949422205847,33,32,35 minutes passed,1.0,0.9705882352941176,34,Shipping is processed | notify the customer,0.96875,1.0,31,3529.0
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 2277,entropy,0.8310025431616777,32,33,35 minutes passed,1.0,0.9411764705882353,34,Shipping is processed | notify the customer,0.9393939393939394,1.0,31,2277.0
The type of address change the customer asked to update ,list_contains,billing,in,'billing' in The type of address change the customer asked to update ,entropy,0.4059770384755711,3,34,35 minutes passed,1.0,1.0,34,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 23,entropy,0.4059770384755711,3,34,35 minutes passed,1.0,1.0,34,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,23.0
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 36,entropy,0.27476749868439965,5,32,35 minutes passed,1.0,0.9411764705882353,34,Customer wants to cancel billing address | Change billing address,0.6,1.0,3,36.0
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 10,entropy,0.22891841710902283,2,35,35 minutes passed,0.9714285714285714,1.0,34,Customer wants to cancel billing address | Change billing address,1.0,0.6666666666666666,3,10.0
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 38,entropy,0.21958252625287486,7,30,35 minutes passed,0.918918918918919,1.0,34,Customer wants to cancel billing address | Change billing address,0.0,0.0,3,38.0
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.4059770384755711,34,3,35 minutes passed,1.0,1.0,34,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.4059770384755711,3,34,35 minutes passed,1.0,1.0,34,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Delivery status,categorical,,==,Delivery status is null,entropy,0.4059770384755711,34,3,35 minutes passed,1.0,1.0,34,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Delivery status,categorical,DELIVERED,==,Delivery status == 'DELIVERED',entropy,0.4059770384755711,3,34,35 minutes passed,1.0,1.0,34,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Tags on the order in question,list_len,,len <=,len(Tags on the order in question) <= 4.5,entropy,0.3182712952908,33,4,35 minutes passed,1.0,0.9705882352941176,34,Order is delivered | Notify the customer ask if reorder is needed,0.75,1.0,3,4.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.8507707040532599,34,13,35 minutes passed,1.0,1.0,34,Can't find orders / account | Ask for details,1.0,1.0,13,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.8507707040532599,13,34,35 minutes passed,1.0,1.0,34,Can't find orders / account | Ask for details,1.0,1.0,13,
Orders Information,list_len,,len <=,len(Orders Information) <= 0.5,entropy,0.8507707040532599,13,34,35 minutes passed,1.0,1.0,34,Can't find orders / account | Ask for details,1.0,1.0,13,0.5
Order in question,categorical,,==,Order in question is null,entropy,0.8507707040532599,13,34,35 minutes passed,1.0,1.0,34,Can't find orders / account | Ask for details,1.0,1.0,13,
Order items in question,list_len,,len <=,len(Order items in question) <= 2.5,entropy,0.7401908620751267,33,14,35 minutes passed,1.0,0.9705882352941176,34,Can't find orders / account | Ask for details,0.9285714285714286,1.0,13,2.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.18717625687320816,34,1,35 minutes passed,1.0,1.0,34,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.18717625687320816,1,34,35 minutes passed,1.0,1.0,34,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Order items in question,list_contains,15854248100077,in,'15854248100077' in Order items in question,entropy,0.18717625687320816,1,34,35 minutes passed,1.0,1.0,34,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,,==,Delivery status is null,entropy,0.18717625687320816,34,1,35 minutes passed,1.0,1.0,34,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,PENDING,==,Delivery status == 'PENDING',entropy,0.18717625687320816,1,34,35 minutes passed,1.0,1.0,34,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.26676498780302604,1,21,2nd Touch | SKIP,1.0,1.0,1,Can't select which order | Ask which order / items,1.0,1.0,21,
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.26676498780302604,1,21,2nd Touch | SKIP,1.0,1.0,1,Can't select which order | Ask which order / items,1.0,1.0,21,
Order items in question,list_contains,15770428866797,in,'15770428866797' in Order items in question,entropy,0.26676498780302604,1,21,2nd Touch | SKIP,1.0,1.0,1,Can't select which order | Ask which order / items,1.0,1.0,21,
Orders Information,list_len,,len <=,len(Orders Information) <= 0.5,entropy,0.26676498780302604,1,21,2nd Touch | SKIP,1.0,1.0,1,Can't select which order | Ask which order / items,1.0,1.0,21,0.5
For kuru organization did tymely already reply for a previous comment?,numeric,,<=,For kuru organization did tymely already reply for a previous comment? <= 0.5,entropy,0.26676498780302604,21,1,2nd Touch | SKIP,1.0,1.0,1,Can't select which order | Ask which order / items,1.0,1.0,21,0.5
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9456603046006401,21,12,Can't select which order | Ask which order / items,1.0,1.0,21,Set the shipping address as the billing address,1.0,1.0,12,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9456603046006401,12,21,Can't select which order | Ask which order / items,1.0,1.0,21,Set the shipping address as the billing address,1.0,1.0,12,
The type of address change the customer asked to update ,list_contains,shipping_from_billing,in,'shipping_from_billing' in The type of address change the customer asked to update ,entropy,0.9456603046006401,12,21,Can't select which order | Ask which order / items,1.0,1.0,21,Set the shipping address as the billing address,1.0,1.0,12,
Order in question,categorical,,==,Order in question is null,entropy,0.9456603046006401,21,12,Can't select which order | Ask which order / items,1.0,1.0,21,Set the shipping address as the billing address,1.0,1.0,12,
Order items in question,list_len,,len <=,len(Order items in question) <= 2,entropy,0.7678169793986227,11,22,Can't select which order | Ask which order / items,0.9545454545454546,1.0,21,Set the shipping address as the billing address,1.0,0.9166666666666666,12,2.0
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9596868937742169,21,13,Can't select which order | Ask which order / items,1.0,1.0,21,Unsupported Fulfillment status,1.0,1.0,13,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9596868937742169,13,21,Can't select which order | Ask which order / items,1.0,1.0,21,Unsupported Fulfillment status,1.0,1.0,13,
Delivery status,categorical,,==,Delivery status is null,entropy,0.9596868937742169,21,13,Can't select which order | Ask which order / items,1.0,1.0,21,Unsupported Fulfillment status,1.0,1.0,13,
Order in question,categorical,,==,Order in question is null,entropy,0.9596868937742169,21,13,Can't select which order | Ask which order / items,1.0,1.0,21,Unsupported Fulfillment status,1.0,1.0,13,
Order ID,numeric,,<=,Order ID <= 6.85415e+12,entropy,0.787074254607553,12,22,Can't select which order | Ask which order / items,0.9545454545454546,1.0,21,Unsupported Fulfillment status,1.0,0.9230769230769231,13,6854154715373.0
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9731560354421095,21,31,Can't select which order | Ask which order / items,1.0,1.0,21,Shipping is processed | notify the customer,1.0,1.0,31,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9731560354421095,31,21,Can't select which order | Ask which order / items,1.0,1.0,21,Shipping is processed | notify the customer,1.0,1.0,31,
Delivery status,categorical,,==,Delivery status is null,entropy,0.9731560354421095,21,31,Can't select which order | Ask which order / items,1.0,1.0,21,Shipping is processed | notify the customer,1.0,1.0,31,
Order in question,categorical,,==,Order in question is null,entropy,0.9731560354421095,21,31,Can't select which order | Ask which order / items,1.0,1.0,21,Shipping is processed | notify the customer,1.0,1.0,31,
Order ID,numeric,,<=,Order ID <= 6.86342e+12,entropy,0.8602939252177523,30,22,Can't select which order | Ask which order / items,0.9545454545454546,1.0,21,Shipping is processed | notify the customer,1.0,0.967741935483871,31,6863421210861.0
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.5435644431995964,21,3,Can't select which order | Ask which order / items,1.0,1.0,21,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.5435644431995964,3,21,Can't select which order | Ask which order / items,1.0,1.0,21,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
The type of address change the customer asked to update ,list_contains,billing,in,'billing' in The type of address change the customer asked to update ,entropy,0.5435644431995964,3,21,Can't select which order | Ask which order / items,1.0,1.0,21,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
Tags on the order in question,list_contains,KPSP-60-day-return,in,'KPSP-60-day-return' in Tags on the order in question,entropy,0.5435644431995964,3,21,Can't select which order | Ask which order / items,1.0,1.0,21,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
Order in question,categorical,,==,Order in question is null,entropy,0.5435644431995964,21,3,Can't select which order | Ask which order / items,1.0,1.0,21,Customer wants to cancel billing address | Change billing address,1.0,1.0,3
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.5435644431995964,21,3,Can't select which order | Ask which order / items,1.0,1.0,21,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.5435644431995964,3,21,Can't select which order | Ask which order / items,1.0,1.0,21,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,,==,Delivery status is null,entropy,0.5435644431995964,21,3,Can't select which order | Ask which order / items,1.0,1.0,21,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,DELIVERED,==,Delivery status == 'DELIVERED',entropy,0.5435644431995964,3,21,Can't select which order | Ask which order / items,1.0,1.0,21,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Order in question,categorical,,==,Order in question is null,entropy,0.5435644431995964,21,3,Can't select which order | Ask which order / items,1.0,1.0,21,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Orders Information,list_len,0.5,len <=,len(Orders Information) <= 0.5,entropy,0.9596868937742169,13,21,Can't find orders / account | Ask for details,1.0,1.0,13,Can't select which order | Ask which order / items,1.0,1.0,21
Orders Information,list_len,1.5,len <=,len(Orders Information) <= 1.5,entropy,0.16635520807501114,27,7,Can't find orders / account | Ask for details,0.0,0.0,13,Can't select which order | Ask which order / items,0.6176470588235294,1.0,21
Comment ID,numeric,31974288.5,<=,Comment ID <= 3.19743e+07,entropy,0.09358262805846296,11,23,Can't find orders / account | Ask for details,0.6363636363636364,0.5384615384615384,13,Can't select which order | Ask which order / items,0.7391304347826086,0.8095238095238095,21
Ticket ID,numeric,6489915.5,<=,Ticket ID <= 6.48992e+06,entropy,0.09358262805846296,11,23,Can't find orders / account | Ask for details,0.6363636363636364,0.5384615384615384,13,Can't select which order | Ask which order / items,0.7391304347826086,0.8095238095238095,21
Comment ID,numeric,35482000.5,<=,Comment ID <= 3.5482e+07,entropy,0.08868297521052315,30,4,Can't find orders / account | Ask for details,0.0,0.0,13,Can't select which order | Ask which order / items,0.6176470588235294,1.0,21
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.26676498780302604,21,1,Can't select which order | Ask which order / items,1.0,1.0,21,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.26676498780302604,1,21,Can't select which order | Ask which order / items,1.0,1.0,21,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Order items in question,list_contains,15854248100077,in,'15854248100077' in Order items in question,entropy,0.26676498780302604,1,21,Can't select which order | Ask which order / items,1.0,1.0,21,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,,==,Delivery status is null,entropy,0.26676498780302604,21,1,Can't select which order | Ask which order / items,1.0,1.0,21,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,PENDING,==,Delivery status == 'PENDING',entropy,0.26676498780302604,1,21,Can't select which order | Ask which order / items,1.0,1.0,21,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.39124356362925566,1,12,2nd Touch | SKIP,1.0,1.0,1,Set the shipping address as the billing address,1.0,1.0,12
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.39124356362925566,12,1,2nd Touch | SKIP,1.0,1.0,1,Set the shipping address as the billing address,1.0,1.0,12
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.39124356362925566,1,12,2nd Touch | SKIP,1.0,1.0,1,Set the shipping address as the billing address,1.0,1.0,12
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.39124356362925566,1,12,2nd Touch | SKIP,1.0,1.0,1,Set the shipping address as the billing address,1.0,1.0,12
Order items in question,list_contains,15770428866797,in,'15770428866797' in Order items in question,entropy,0.39124356362925566,1,12,2nd Touch | SKIP,1.0,1.0,1,Set the shipping address as the billing address,1.0,1.0,12
Comment ID,numeric,31839640.0,<=,Comment ID <= 3.18396e+07,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Unsupported Fulfillment status,1.0,1.0,13,
Ticket ID,numeric,6461336.5,<=,Ticket ID <= 6.46134e+06,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Unsupported Fulfillment status,1.0,1.0,13,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Unsupported Fulfillment status,1.0,1.0,13,
Fulfilment status,categorical,,==,Fulfilment status == 'fulfilled',entropy,0.37123232664087563,13,1,2nd Touch | SKIP,1.0,1.0,1,Unsupported Fulfillment status,1.0,1.0,13,fulfilled
Order items in question,list_len,2.5,len <=,len(Order items in question) <= 2.5,entropy,0.37123232664087563,13,1,2nd Touch | SKIP,1.0,1.0,1,Unsupported Fulfillment status,1.0,1.0,13,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.20062232431271465,1,31,2nd Touch | SKIP,1.0,1.0,1,Shipping is processed | notify the customer,1.0,1.0,31,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.20062232431271465,31,1,2nd Touch | SKIP,1.0,1.0,1,Shipping is processed | notify the customer,1.0,1.0,31,
Order items in question,list_len,,len <=,len(Order items in question) <= 2.5,entropy,0.20062232431271465,31,1,2nd Touch | SKIP,1.0,1.0,1,Shipping is processed | notify the customer,1.0,1.0,31,2.5
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.20062232431271465,1,31,2nd Touch | SKIP,1.0,1.0,1,Shipping is processed | notify the customer,1.0,1.0,31,
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.20062232431271465,1,31,2nd Touch | SKIP,1.0,1.0,1,Shipping is processed | notify the customer,1.0,1.0,31,
Comment ID,numeric,31524969.0,<=,Comment ID <= 3.1525e+07,entropy,0.8112781244591328,3,1,2nd Touch | SKIP,1.0,1.0,1,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
Ticket ID,numeric,6392820.5,<=,Ticket ID <= 6.39282e+06,entropy,0.8112781244591328,3,1,2nd Touch | SKIP,1.0,1.0,1,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.8112781244591328,1,3,2nd Touch | SKIP,1.0,1.0,1,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
Fulfilment status,categorical,,==,Fulfilment status == 'unfulfilled',entropy,0.8112781244591328,3,1,2nd Touch | SKIP,1.0,1.0,1,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,unfulfilled
Order items in question,list_len,2.5,len <=,len(Order items in question) <= 2.5,entropy,0.8112781244591328,3,1,2nd Touch | SKIP,1.0,1.0,1,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.8112781244591328,1,3,2nd Touch | SKIP,1.0,1.0,1,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.8112781244591328,3,1,2nd Touch | SKIP,1.0,1.0,1,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Order items in question,list_len,,len <=,len(Order items in question) <= 2.5,entropy,0.8112781244591328,3,1,2nd Touch | SKIP,1.0,1.0,1,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,2.5
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.8112781244591328,1,3,2nd Touch | SKIP,1.0,1.0,1,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.8112781244591328,1,3,2nd Touch | SKIP,1.0,1.0,1,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Can't find orders / account | Ask for details,1.0,1.0,13,
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Can't find orders / account | Ask for details,1.0,1.0,13,
Order items in question,list_contains,15770428866797,in,'15770428866797' in Order items in question,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Can't find orders / account | Ask for details,1.0,1.0,13,
For kuru organization did tymely already reply for a previous comment?,numeric,,<=,For kuru organization did tymely already reply for a previous comment? <= 0.5,entropy,0.37123232664087563,13,1,2nd Touch | SKIP,1.0,1.0,1,Can't find orders / account | Ask for details,1.0,1.0,13,0.5
Comment channel,categorical,,==,Comment channel is null,entropy,0.37123232664087563,1,13,2nd Touch | SKIP,1.0,1.0,1,Can't find orders / account | Ask for details,1.0,1.0,13,
Comment ID,numeric,32119029.0,<=,Comment ID <= 3.2119e+07,entropy,1.0,1,1,2nd Touch | SKIP,1.0,1.0,1,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1,
Ticket ID,numeric,6516160.5,<=,Ticket ID <= 6.51616e+06,entropy,1.0,1,1,2nd Touch | SKIP,1.0,1.0,1,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,1.0,1,1,2nd Touch | SKIP,1.0,1.0,1,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1,
